review, sentiment
"Far from providing the caffeine kick you'd expect from a film that shares its name with the most energy-boosting of warm beverages, Coffy clunks about and never really rises above being just a ropey revenge tale. Indeed, if the movie was a cup of coffee, it'd be rather weak and watery, littered with a few undesirable dregs and lacking in a lingering aftertaste. Sporadically it hits the spot, but otherwise it isn't the hot action-drama it hopes to be.<br /><br />Plot-wise, Coffy is a nurse who takes the law into her own hands and delivers hard justice to the drug-pushing, lady-pimpin', mob-suckers that hooked her younger sister into a depraved, sick state. Socio-political commentary on the plight of urban black youths in America is prominent in Coffy, and it makes for some thought-provoking stuff as Coffy crusades against the political corruption and white establishment racism that profits and acts as a parasite off the targeted Afro-American minorities. Sadly, the timely messages are undermined by the film's poor quality and lack of focus. Coffy's ideas are important, it's just that they are not well-aimed.<br /><br />One of the plus points of Coffy is the presence of Blaxploitation icon Pam Grier. Grier goes at her role with gusto and makes for an appealing action heroine as she shotguns down the scum in her often spectacular acts of vigilante violence (how do you deal with a house full of hoods? Drive the car right through the front door!). It's just a shame that the storyline wavers on occasions, wasting time squeezing as much sexual exploitation as possible. The low budget can't have helped, but neither does the fact that for a Blaxploitation flick, Coffy lacks groove. Just as the issues are undermined by the lack of quality, consequently the entertainment and excitement are also skewered by moments of dullness and misdirection.<br /><br />The total result is workmanlike and wooden. We get a hip heroine but not a hip movie. It's a shame as Coffy has its moments and should rightly be regarded as a key film in the Blaxploitation craze; it just never ascends above being an average, lukewarm number.",negative
"Just okay film about a woman who is a twin having disturbing visions of her sister in danger back at home. She then returns home to find all is not well and that she is going to have to find out what happened to her sister and why.<br /><br />This is the sort of thing that kind of almost works but doesn't quite. I can't really put my finger on why it didn't work but it was good enough that I kind of wished it was better, or at least had gotten the little things right- like having the girls who play the twins in the flashbacks be closer in size. I think perhaps thats whats wrong with it there are lots of little things that just are wrong.",negative
"Set in 1945, Skenbart follows a failed Swedish book editor who decides to take a non-stop train to Berlin. Unfortunately for everyone around him, he's a walking disaster, causing mayhem everywhere he goes. The train also holds a man and his mistress scheming to murder the man's wife (who's also on the train), a soldier on his way home, two gay elderly gentlemen, an angry train conductor, two nuns, a bunch of refugees, and even more people.<br /><br />Meant as a mix of noir-ish thriller (which it does quite well - at least to begin with), and comedy, the film fails with both. It doesn't sit right as the film changes tone with every new scene. And as the train races towards its final destination, the film turns more and more bizarre, ending on a truly surreal note.<br /><br />The good bits are wasted in a myriad of pointless plots and characters. Skenbart is packed with famous Swedish actors, no matter how small the part is. It feels like the filmmakers rang everyone they've ever worked with and offered them a part in the film. Too bad that the performances are just as bad as the script (act your lines - don't read them!).<br /><br />The comedy is more or less slapstick, with the same jokes repeated over and over. The pace is incredibly slow at times (quite often, actually) with on scene in particular dragging on for about ten minutes for no good reason. The screenwriter also seems to think that swearing is a good way to replace decent dialogue. The film looks great though, in moody B&W, but it's wasted on such inept film-making in every other department. [1/10]",negative
"i was a projectionist while in the U.S.A.F. and remember this movie very well. we had just been set up with Stereo Sound!! o-o-o-o-o!! well, it Was a big deal in 1959. instructions came with the reels. the overture played while the projected curtain image was closed and i followed suit with the theater curtain closed too. for intermission the theater curtain was closed and after five minutes i restarted the movie with the projection curtain closed while music used as a curtain call to the second part. being the first stereo movie i had ever seen and being such a huge musical production i certainly enjoyed watching it every time i showed it for the run.",positive
"The master of movie spectacle Cecil B. De Mille goes West. Using three legends of the old west as its protagonists (they probably never met),Gary Cooper is portraying Wild Bill Hickock,James Ellison as Buffalo Bill and Jean Arthur does make a nice Calamity Jane. The story serves only for De Mille to hang some marvelous action sequences on, like the big Indian attack.Scenes like that are extremely well done.If you don't mind the somewhat over-the-top performances of the cast this is an very entertaining western.Look out for a very young Anthony Quinn essaying the role of an Indian brave who participated at the battle of Little Big Horn.This part got him at least noticed in Hollywood.",positive
"The Caprica episode (S01E01) is well done as a pilot. Really, this episode is the exact same content as the DVD pilot release. That having been said, episode 01 gives a very substantive background of the very popular ""Battlestar Galactica"" series (both the original and the 2007 remake). It significantly applies most to the 2007 series. As is the trending plots of sci-fi of late, this series explores ""Virtual"" life or environment. On top of this, we are given much background on the Adama family line as well as their relationship with the unrevealed (in the Battlestar Galactica series) creator of the Cylons. To the most part, this first episode revolves around the popular topic of ""Virtual"" life and (as is expected) early life of the colonies, and the birth of the Cylons. <br /><br />Over all, I rather enjoyed this episode. Although, it was not new material for myself or anyone that has already seen the DVD release of the Caprica pilot, the series seems very promising. As is the case with many pilots, episode 01 leaves us with a cliff-hanger so to ensure a follow by an audience (sci-fi community). I'm definitely going to keep watching for resolve as well as development. <br /><br />I give this series 8 stars.",positive
"For my humanities quarter project for school, i chose to do human trafficking. After some research on the internet, i found this DVD and ordered it. I just finished watching it and I am still thinking about it. All I can say is ""Wow"". It is such a compelling story of a 12 year old Vietnamese girl named Holly and an American man named Patric who tries to save her. The ending leaves you breathless, and although it's not a happily-ever-after ending, it is very realistic. It is amazing and I recommend it to anyone! You really connect with Holly and Patric and your heart breaks for her and because of what happens to her. I loved it so much and now I want to know what happens next!",positive
"After watching ""A Texas Tale of Treason"" you feel a renewed disgust for the nature of the Hollywood beast. Inside the interviews and conversations of all involved with the project there is a common sense of comradery and rebelliousness that spans backgrounds, social classifications, and even geography. This can be attributed to hard work on the entire production's undying commitment to the project and the love the of the story from the original film, and the complete creation of vacuum that is it's creator. The scale of people involved in ""Waldo's Hawaiian Holiday"" was amazing to me, at a no budget, no glory production. There were no trailers or craft services, no amenities at all, and yet everyone involved stuck right there with it. If nothing ever comes of this project, Antstuie Productions have laid their foundation for being a serious, honest company that's never going to lay down and take it or sell out and make a movie just for the money. I'd like to see any L.A. director go through the guerrilla process to get a shot. More realistic true to life cinema is lacking in this time of CG and green screens. The masses may enjoy their entertainment spoon fed to them in nice bite sized censored calm bits, but there is a large group of people out here in the world that share the opinions and insights of the filmmakers that still make films for the love of the material or love of storytelling, not DVD sales or box office. I loved this documentary, and I hope that IFC has the cahones to pick it up and air it so that maybe, just maybe, one more person will decide to pick up a camera and film some real life so we the viewer can have even a temporary understanding that everyone everywhere is the same, and anyone anywhere can be a true storyteller.",positive
"Edward Dmytryk's ""Crossfire"" is a rare film coming from the Hollywood of the 1940s. This was groundbreaking territory for Mr. Dmytryk and the studio because of what the director and his adapter, John Paxton, decided to do with the novel, in which the film is based.<br /><br />If you haven't seen the film, please stop reading now.<br /><br />Richard Brooks novel was about the killing of a gay soldier. In the movie, the subject matter was turned around to prejudice against Jews, a theme that was taboo during that time in the American cinema. It's to Mr. Dmytryk's credit to have had the courage to get involved with this film project, at all.<br /><br />The movie is an outstanding piece of film making because the way the director presents it. Obviously influenced by the film noir style, we are taken to the Washington of the post war. The opening scene about the brutal murder of Samuels shows such unusual cruelty being inflicted to a decent man, who we don't know yet, or why has been killed, but who didn't deserve to die in such horrible fashion.<br /><br />The basis of the murder is prejudice, pure and simple. We realize how in the mind of an ignorant man, the mere fact of being successful and different, plays in the mind of the assassin. Samuels stands as the sacrificial lamb, the same way the gay soldier is the victim in the novel. The parallels are well drawn.<br /><br />This film makes compelling viewing because of the brilliant star turn of Robert Ryan, as Montgomery. Mr. Ryan was an actor that always played interesting roles, but never so well as in ""Crossfire"". Also, there is a great appearance by Gloria Grahame, as Ginny, the prostitute with her heart in the right place.<br /><br />The rest of the cast play as an ensemble. Robert Young, as the police detective in charge of the investigation plays is a decent man who has known prejudice first hand in his own family and speaks loudly against it. Robert Mitchum plays a cool Sgt. Keeley who is deeply touched by the crime when one of his men is accused of committing it. Sam Levene is excellent in his small role of Samuels.<br /><br />This is a film to watch because of it probably the first to speak out loud against ignorance.",positive
"Coming from the same director who'd done ""Candyman"" and ""Immortal Beloved"", I'm not surprised it's a good film. Ironically, ""Papierhaus"" is a movie I'd never heard of until now, yet it must be one of the best movies of the late 80s - partly because that is hands down the worst movie period in recent decades. (Not talking about Iranian or Swedish ""cinema"" here...) The acting is not brilliant, but merely solid - unlike what some people here claim (they must have dreamt this ""wondrous acting"", much like Anna). The story is an interesting fantasy that doesn't end in a clever way that ties all the loose ends together neatly. These unanswered questions are probably left there on purpose, leaving it up to the individual's interpretation, and there's nothing wrong with that with a theme such as this. ""Pepperhaus"" is a somewhat unusual mix of kids' film and horror, with effective use of sounds and music. I like the fact that the central character is not your typical movie-cliché ultra-shy-but-secretly-brilliant social-outcast girl, but a regular, normal kid; very refreshing. I am sick and tired of writers projecting their own misfit-like childhoods into their books and onto the screens, as if anyone cares anymore to watch or read about yet another miserly, lonely childhood, as if that's all there is or as if that kind of character background holds a monopoly on good potential. The scene with Anna and the boy ""snogging"" (for quite a stretch) was a bit much - evoking feelings of both vague disgust and amusement - considering that she was supposed to be only 11, but predictably it turned out that Burke was 13 or 14 when this was filmed. I have no idea why they didn't upgrade the character's age or get a younger actress. It was quite obvious that Burke isn't that young. Why directors always cast kids older than what they play, hence dilute the realism, I'll never know.",positive
"Diana Muldaur appears on Star Trek for the second time, but this time as a different character. No one on board seems to notice--maybe it was the hair. Regardless, this time she is not the receptacle for a god (see the previous episode) but is a very famous lady with magical powers that enable her to communicate and see a Medusan without going crazy (the standard human response). Unfortunately, the man that is most in love with her is a few cards short of a full deck and he tries to kill the Medusan ambassador (who, oddly, lives in a small crate--this is a lousy way to travel). And, unfortunately, Muldayr isn't wound all that well herself. What happens next is kind of dumb and by the time the episode was over the first time I saw it, I was pretty relieved. Watching all the men on board go ga-ga over Muldaur was pretty silly and the acting of Spock when he briefly went crazy was pretty campy. Do yourself a favor--if you haven't seen the show before, pick a different episode.",negative
"This is a great movie, I did the play a while ago. It had an extra zing-- to it. I loved Vanessa Williams as Rosey, and also Jason Alexander has a good voice. It was great. The setting were also very good. Except the fact that it is 2 hours and 50 minutes, makes it pretty long. Overall I give it 8.5 stars. They also added a few parts, but it was still cool.",positive
